id x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11
01 1 2 147 52 100 220 57 36 . 168 600
02 2 1 1005 535 449 8567 . 150 . 85 700
03 1 1 3326 614 292 26000 277 199 . 125 900
04 1 1 3800 700 775 13000 360 650 400 158 800
05 1 2 860 140 350 1980 10 . . . .
06 2 2 1255 196 239 5546 113 274 151 171 700
07 1 2 565 25 5000 . . . 50 130 600
08 1 2 . . 200 360 40 56 . 208 600
09 1 2 550 50 5000 . . 50 70 200 1000
10 1 1 140 20 90 600 . 13 . 166 900
11 1 2 . . 10 450 68 65 . 150 750
12 3 1 490 500 132 2501 65 57 . 130 700
13 3 1 8005 5088 12300  31000 6000 5000 . . 800
14 3 1 . . . 159000 2000 1600 . . 800
15 3 1 . . 200 2430 46 14 . 82 700
16 3 1 4874 4650 3483 30000 840 420 . 150 800
17 4 2 1282 61 1413 15894 53 45 30 95 700
18 4 1 . . 3698 32500 200 150 . . 800
19 4 2 6133  335   309  11500 205 80 . 160 650
20 4 1 2405  112   400   3533 14 34 . 90 700
21 4 2 2534 1708  2150  46850 356 207 170 90 700
22 4 2 . . 592 8620  100 95 100 95 650
23 5 2 17200 400 3547  43543 514  540 . 78 700
24 5 1 7507  587 407 12273 .  134 . 168 700
25 5 2 . . 3225 . 500 200 100 . 800 
26 5 1 1642 114 5338 4700 98 73 40 110 700
27 5 1 . . 3262 114898 650 570 297 70 700
28 5 1 . .  871 58500 40 40 40 90 800
29 6 1 . . 4644 28681 14 53 . . 1000
30 6 1 2380 1020 3165 7920 82 80 . 216 900
31 6 1 2345 1044 1710 7371 21 54 . 208 900
32 6 1 3078 1484 6160 19556 79 73 . 216 900
33 6 1 . . 8250 28748 . . . 186 1000
34 6 . . . . . . 30 20 183 600 
35 6 1 7733 4212  2731 28403 159 100 . 158 .
36 6 2 12430 5770 11133 163214 226 210 . . .
37 7 1 109 32 363 4380 14 9 5 88 900
38 7 1 104 33 41 2931 14 13 10 196 1200
39 7 1 127 44 300 2832 8 8 4 . . 
40 7 1 100 49 2147 1804 . 23 11 90 1200
41 7 1 84 35 350 1650 4 1 1 88 1200
42 7 1 95 38 490 3608 6 9 4 94 400
43 8 1 1789 630 3170 3530 . 111 50 166 800
44 8 1 580 257 1365 1463 34 15 15 191 820
45 8 1 780 330 1795 1648 65 60 50 112 700
46 8 1 649 240 720 1500 48 50 . 120 700
47 8 1 414 126 822 873 45 8 10 115 800
48 8 1 842 604 1293 3210 . 87 40 110 700
49 9 2 . . 686 83178 1020 1160 500 112 900
50 9 2 3676 4405 300 74347 550 480 . 111 950
51 9 2 . . . . . . . 176 900 
52 9 2 820 940 451 10745 139 82 80 93 800
53 9 1 . . 300 18000 214  396 . 175 810
54 9 1 1160 821 333 7204 228 66 100 92 850
55 9 1 2377 1595 447 18000 258 595 227 195 900
